logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000066152	-0.359858629012693	6.84750997362986	-10.1407339958493	5.90866458315926e-24	1.21644632105791e-21	43.5370606796963
ENSMUSG00000021518	-0.187474453686269	7.1652246088438	-10.1239232873375	6.99525119556757e-24	1.41799122696613e-21	43.371305345579
ENSMUSG00000033102	-0.290764254452212	6.74614180329355	-10.0805986717311	1.07948973991324e-23	2.15505406259042e-21	42.9483922053692
ENSMUSG00000036908	0.329516488152382	7.09241016728074	9.97708200427653	3.02211691209623e-23	5.94319588563879e-21	41.9380662845299
ENSMUSG00000034729	0.202511511268237	7.33576644737072	9.95697455873333	3.68680463117203e-23	7.14372615004744e-21	41.7406999454219
ENSMUSG00000028293	-0.137152819515067	7.45551822366577	-9.93005528877118	4.80817531224786e-23	9.18152433538809e-21	41.4257016922787
ENSMUSG00000043432	-0.359878979444752	7.34709528277583	-9.91328115659803	5.67147964757878e-23	1.06753451194997e-20	41.3144359553343
ENSMUSG00000014349	-0.401427071836039	6.93339754865138	-9.88613696063973	7.40467022472469e-23	1.37413992790102e-20	41.0605288240165
ENSMUSG00000023067	-0.34428336547717	7.00685310594252	-9.87862190221447	7.97104504908003e-23	1.45870124398165e-20	40.9870713970108
ENSMUSG00000071054	0.207167991185377	6.96439062293025	9.87230860394463	8.47985160177148e-23	1.52585543400127e-20	40.9253823949082
ENSMUSG00000022426	-0.286264578826743	7.16410531723871	-9.87123382079191	8.56961916485229e-23	1.52585543400127e-20	40.9181292525314
ENSMUSG00000022220	0.383918181064476	7.06193873387121	9.86647157666617	8.97882497573609e-23	1.57739997173732e-20	40.8721540368375
ENSMUSG00000045934	0.431924311961517	7.19871344136725	9.85523584775278	1.00225501375519e-22	1.73759369226821e-20	40.764969362297
ENSMUSG00000032178	0.320784595446152	7.11652274637388	9.85127695739773	1.04182238700529e-22	1.78273399625736e-20	40.7256982670064
ENSMUSG00000020154	0.333500405321299	7.0323834852617	9.84219562525434	1.13852518949299e-22	1.92323178163585e-20	40.6390575976555
ENSMUSG00000021645	-0.166384616836003	7.13988927989013	-9.82092871108862	1.40115466455296e-22	2.32102796721549e-20	40.4343585043279
ENSMUSG00000024965	0.371255859244807	6.85928174766767	9.82033811797172	1.40924588173375e-22	2.32102796721549e-20	40.4307441536236
ENSMUSG00000019978	0.568800662553663	7.09566605752876	9.79230315338086	1.85152318557964e-22	3.01181104854288e-20	40.1608308357714
ENSMUSG00000003283	0.325577128843319	6.9900607127007	9.73319296618051	3.28411673254126e-22	5.27701488633703e-20	39.6016160431245
ENSMUSG00000050105	0.376768137719484	6.94720881705806	9.71441926778497	3.93703081471817e-22	6.24991783309959e-20	39.4246104827398
ENSMUSG00000034300	-0.320322570231228	7.08488086518681	-9.70708000397669	4.22586664508091e-22	6.62857368042691e-20	39.3544443392891
ENSMUSG00000005410	0.444843929218918	7.0260835738909	9.69863984758916	4.58403197284402e-22	7.07009881641286e-20	39.2758186111235
ENSMUSG00000073599	0.354333253706265	7.15053679987375	9.69794852214474	4.61466680488393e-22	7.07009881641286e-20	39.2691022687017
ENSMUSG00000030870	-0.256408810287798	6.97073560044751	-9.69288627299375	4.84525185343139e-22	7.33805039319678e-20	39.2194043052029
ENSMUSG00000062480	0.190074937245805	7.44679430922128	9.62322232461371	9.45510488173135e-22	1.41568706729196e-19	38.5201579486948
ENSMUSG00000029016	-0.229693243937271	7.26035593187082	-9.61344422208328	1.03815342080582e-21	1.53693364859971e-19	38.4741219442317
ENSMUSG00000054720	-0.514657970239991	7.17479227386852	-9.6122718130226	1.04984779532445e-21	1.536977172355e-19	38.4532626106178
ENSMUSG00000059336	0.379511899607882	7.31014479471671	9.60958995991517	1.07709082528627e-21	1.5595328257112e-19	38.4304438476395
ENSMUSG00000051669	0.31682149898103	7.07693935789868	9.59277218912459	1.26460779345203e-21	1.81113829201347e-19	38.2824208504792
ENSMUSG00000056394	0.343790521067334	7.07165831655727	9.55400530842145	1.82890091266463e-21	2.56357430056054e-19	37.9213513122277
ENSMUSG00000074807	-0.279791307194299	7.28548360245837	-9.55449940588944	1.82033700723286e-21	2.56357430056054e-19	37.9134602511393
ENSMUSG00000049285	-0.267163250810142	7.30062727869723	-9.53753972027741	2.13826336553198e-21	2.96565874781572e-19	37.7548900244252
ENSMUSG00000009621	0.366543737589938	7.07676209495197	9.5262886131008	2.37889037070791e-21	3.26171206396764e-19	37.6641038784795
ENSMUSG00000031266	-0.333065396626227	6.8788415746865	-9.52530185759833	2.4012300410205e-21	3.26171206396764e-19	37.6549062798593
ENSMUSG00000048696	0.408941824006069	7.2761865638455	9.51340456958384	2.687483438764e-21	3.6132940601178e-19	37.5369848480934
ENSMUSG00000040586	0.233352197494646	7.37629670198829	9.46809133728715	4.12199200431247e-21	5.48599663119405e-19	37.097646562211
ENSMUSG00000002732	0.298806854644234	6.82492386791668	9.46444684930964	4.26590537363011e-21	5.59922549875852e-19	37.0921438456448
ENSMUSG00000050721	0.44779938876448	6.98586289079685	9.46379759898942	4.29205961881155e-21	5.59922549875852e-19	37.0862859917175
ENSMUSG00000071369	-0.447286923659447	7.01085515337129	-9.44395767719494	5.17249656224287e-21	6.68164850040314e-19	36.9036074598096
ENSMUSG00000088583	0.249359563082987	7.48555038705804	9.43254581196016	5.75755438767313e-21	7.36519772931856e-19	36.7184169012433
ENSMUSG00000030737	0.368741223853776	6.90908369762479	9.41313177011268	6.9069531750985e-21	8.7505783687594e-19	36.6211967015828
ENSMUSG00000079227	0.254374395616285	7.23405540100126	9.41131463614329	7.02550378121632e-21	8.81600360202917e-19	36.6010251549305
ENSMUSG00000020630	0.240135483212208	7.12971890602608	9.40623575747668	7.36763318448689e-21	9.15810706026408e-19	36.5583738131581
ENSMUSG00000040584	0.366857916479328	7.05532079973317	9.35114225588227	1.23213310535901e-20	1.50995240467701e-18	36.0548988566959
ENSMUSG00000039167	0.383108462720931	6.8456639411868	9.35066089278291	1.23766590547296e-20	1.50995240467701e-18	36.0501132672458
ENSMUSG00000001930	0.321062779683831	6.97262984411254	9.33012915572618	1.49799369565768e-20	1.81078577376014e-18	35.8644434874324
ENSMUSG00000034911	0.300452019087415	7.10025822691185	9.29923886543424	1.99488955975113e-20	2.38951498538917e-18	35.5842106149617
ENSMUSG00000103898	0.441331426322056	7.20269966961648	9.29316878133045	2.11018159658517e-20	2.48247792112555e-18	35.5222814227133
ENSMUSG00000052852	-0.211529630309498	7.48212380027106	-9.29495116775099	2.07566100920811e-20	2.46386571687622e-18	35.4615085200063
ENSMUSG00000069171	0.329339875809943	6.97353724066763	9.28262733389588	2.32626539228135e-20	2.71246662023885e-18	35.4337981223066
ENSMUSG00000040606	-0.22521035830534	6.96607724340042	-9.26616211718409	2.70832179856289e-20	3.10303026242301e-18	35.2857546451528
ENSMUSG00000032952	-0.298482617264106	7.26650698051722	-9.26679187413128	2.69262820257364e-20	3.10303026242301e-18	35.2820017785536
ENSMUSG00000025173	-0.142126343593196	7.32784184847122	-9.26112595805204	2.83712074759239e-20	3.22257784226529e-18	35.2213715238057
ENSMUSG00000034487	0.286985335229453	7.27280885903275	9.25784032959845	2.92439618316705e-20	3.2933200093512e-18	35.1980961769298
