logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000015093	0.315358405865902	7.40471677714715	6.31748243588165	2.99216076083575e-10	4.19454677265478e-08	12.9093985207808
ENSMUSG00000015085	-0.255548339779182	7.38315057007907	-6.31747619914549	2.99228011866189e-10	4.19454677265478e-08	12.8795361615097
ENSMUSG00000044229	0.147206304608634	7.5349944249169	6.32385520937884	2.87259882594968e-10	4.11337618980344e-08	12.8777893378742
ENSMUSG00000027752	0.322613458886074	7.17195282646087	6.31152926380538	3.10823429751791e-10	4.31170376458813e-08	12.8591065824051
ENSMUSG00000063558	0.201774740825946	7.44374116022177	6.30960200986708	3.14674538230038e-10	4.32012456248394e-08	12.8502437125285
ENSMUSG00000025583	0.270274594181788	7.4533707730391	6.29006018833	3.56452232649251e-10	4.8437493695817e-08	12.7316476402462
ENSMUSG00000094158	-0.253573836509574	7.30388268742847	-6.28629381724577	3.65105098178725e-10	4.91121676004654e-08	12.7109548044507
ENSMUSG00000024079	0.305207976300473	7.47452180413229	6.28292466215939	3.73019000947045e-10	4.96749403561179e-08	12.6840410972228
ENSMUSG00000032786	0.297629413831151	7.3330806341207	6.26540027252904	4.1696248248454e-10	5.49771225667982e-08	12.5929159963416
ENSMUSG00000080469	0.134533928450439	7.58152057362826	6.26132419161506	4.27886519897932e-10	5.58643606419682e-08	12.4413592699135
ENSMUSG00000031328	0.177125077492865	7.24248037120426	6.23002204069009	5.21620209859055e-10	6.67924647566638e-08	12.3688607331115
ENSMUSG00000082985	0.248491613466697	7.49972840703604	6.23202025139583	5.15080204440015e-10	6.65953697332784e-08	12.3522954465793
ENSMUSG00000104241	0.210456108288072	7.26191054429008	6.20335158924779	6.1706942030968e-10	7.82620330501334e-08	12.2151027822015
ENSMUSG00000024566	0.20823728595716	7.49045770184208	6.19883869764304	6.34824958209099e-10	7.97543770610432e-08	12.156095905477
ENSMUSG00000038402	0.311825337552111	7.2536114648525	6.1863801168529	6.86470554978854e-10	8.46456331541981e-08	12.1133738299748
ENSMUSG00000039713	0.169338002739652	7.57892419289441	6.18963651112944	6.72588762867206e-10	8.3709014533669e-08	12.007949241402
ENSMUSG00000060424	-0.218883246431916	7.07438093512473	-6.16212812703768	7.99027114209361e-10	9.67331279993278e-08	11.9662141995378
ENSMUSG00000000148	0.155065795643825	7.53030607039459	6.17396322024355	7.42015215675057e-10	9.06551984141719e-08	11.9647623925172
ENSMUSG00000042626	0.24283252288046	7.09734437823496	6.14593355234698	8.84013959962176e-10	1.06057782926273e-07	11.8653817007353
ENSMUSG00000020491	0.351598442532457	7.23184057173015	6.13960252085572	9.19583107385053e-10	1.09340073580775e-07	11.8387285747995
ENSMUSG00000020184	0.421779619637893	7.25091905771956	6.13401918124865	9.52107377561118e-10	1.11687086521683e-07	11.8084699717765
ENSMUSG00000088929	0.314114684406033	7.27732751515587	6.13334734877628	9.56095807124115e-10	1.11687086521683e-07	11.8025600533372
ENSMUSG00000028706	0.296850090286279	7.34525208724162	6.12236387516409	1.02365974686039e-09	1.16106991785774e-07	11.7401795552376
ENSMUSG00000002814	0.327065880596988	7.31909265461618	6.12155632163613	1.02880716608255e-09	1.16106991785774e-07	11.7357019469128
ENSMUSG00000072494	0.237319885377679	7.14898186360677	6.12192398016555	1.02646055406474e-09	1.16106991785774e-07	11.7266220881934
ENSMUSG00000028468	0.282063384540336	7.44531065050294	6.11598902657384	1.06498706004283e-09	1.19180106542777e-07	11.6909383977966
ENSMUSG00000064267	0.219204960850134	7.35772072325343	6.1130194026601	1.08479013350695e-09	1.20384585065934e-07	11.6846699377351
ENSMUSG00000028878	0.16849529536132	7.55558948900909	6.12492313045329	1.00751224457646e-09	1.16106991785774e-07	11.6416835767238
ENSMUSG00000057522	-0.327432266863255	7.15935128022465	-6.10372127432277	1.14914629507809e-09	1.26472571996321e-07	11.6300820891483
ENSMUSG00000025417	0.470786428363019	7.22506815861294	6.09863764678997	1.18589138153493e-09	1.27358996192747e-07	11.5998911807798
ENSMUSG00000030322	0.413591311611967	6.94670091379574	6.09319019485185	1.22653807355785e-09	1.30670460204559e-07	11.566532314665
ENSMUSG00000052794	-0.206777253207786	7.43263146764268	-6.10040765382443	1.17296935569578e-09	1.27358996192747e-07	11.5111445536998
ENSMUSG00000097787	0.178902244346617	7.54029848981834	6.09885605336405	1.18428941543463e-09	1.27358996192747e-07	11.5095343020176
ENSMUSG00000103332	0.39914832642341	7.20056575526506	6.06988950206042	1.41627455251123e-09	1.49686731871365e-07	11.4315306123519
ENSMUSG00000087380	-0.290422607959131	7.16887529931766	-6.06084482824305	1.49739062613121e-09	1.57013787151097e-07	11.3790419234735
ENSMUSG00000037007	0.308788037079846	6.95884683469595	6.05890714719075	1.51534867116357e-09	1.57655455108479e-07	11.3640328387509
ENSMUSG00000028268	0.336817335269811	6.84100912451285	6.05569366519577	1.54559449798971e-09	1.59555673873868e-07	11.3495882931169
ENSMUSG00000025324	0.352277811153772	7.37423383648793	6.04186930856489	1.68256218623863e-09	1.69747580561665e-07	11.2680744334918
ENSMUSG00000027809	0.370940537653928	7.17197373835017	6.04210524285813	1.68012828527909e-09	1.69747580561665e-07	11.2672043374214
ENSMUSG00000038126	0.193761648432394	7.53831017273891	6.04245174546617	1.6765599812112e-09	1.69747580561665e-07	11.1812498129421
ENSMUSG00000085433	0.424928749481712	7.09347086625012	6.02356008377572	1.88230068587124e-09	1.88470663411634e-07	11.1599647494428
ENSMUSG00000049858	0.282974025438715	7.16554577339968	6.00709979973575	2.08146758938529e-09	2.06857491700328e-07	11.0616105919631
ENSMUSG00000028992	-0.289128170257611	6.75440500653621	-6.00465020531999	2.11281091198038e-09	2.08417058628464e-07	11.0520687105849
ENSMUSG00000006392	0.289144114320669	7.46390092919176	6.00287424544706	2.13582202232098e-09	2.09137807876827e-07	11.0196230587535
ENSMUSG00000031819	0.250176114217046	7.34758055462168	5.99677773831362	2.21668789348875e-09	2.15176050966637e-07	11.0047681446735
ENSMUSG00000027884	0.304402255904528	7.25786338323045	5.99159368806169	2.28779156427868e-09	2.19183599003591e-07	10.9753967452737
ENSMUSG00000084433	-0.147052002094298	7.49976995178711	-5.99580941513493	2.22980363695997e-09	2.15176050966637e-07	10.8438452732639
ENSMUSG00000045100	-0.290504654474438	7.16209208565755	-5.96787000538558	2.64256214505016e-09	2.5136428632595e-07	10.8413735358171
ENSMUSG00000032531	0.337891510701883	7.0154490005285	5.96627272424793	2.66828528856013e-09	2.52011029700392e-07	10.8289814545847
ENSMUSG00000037010	-0.319100212490866	7.03902821949145	-5.95249051282622	2.90061091935895e-09	2.72024194458473e-07	10.7524162546896
