logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000041147	0.183350723738718	7.47059880435769	8.30785670504748	1.18173715979799e-16	1.61203568025227e-14	27.1120544037333
ENSMUSG00000097236	0.195649217928987	7.46739252286829	8.30807185943218	1.17962012997664e-16	1.61203568025227e-14	27.1041273539312
ENSMUSG00000035266	0.141585212132779	7.47974887086403	8.3044932471777	1.21532350863954e-16	1.64093476186922e-14	27.0772755190118
ENSMUSG00000071796	0.207444838315825	7.54194024881068	8.31233432464277	1.13844198937309e-16	1.5856699371984e-14	27.0552670524955
ENSMUSG00000054453	0.133534088932376	7.47203550933849	8.28792623785623	1.3949956299756e-16	1.84585821758371e-14	26.9365566942332
ENSMUSG00000084984	0.164472745843243	7.55490220223866	8.29551152005535	1.30969507569453e-16	1.75049345874647e-14	26.9222962875092
ENSMUSG00000083929	0.229285455329838	7.52555122065395	8.2866482073888	1.40989744341701e-16	1.84710524468257e-14	26.9056572579776
ENSMUSG00000044982	0.15001507795922	7.39007874193239	8.26461903479152	1.69286928402558e-16	2.15385061213716e-14	26.7642634294122
ENSMUSG00000085998	0.167424555757209	7.5044089826195	8.26500454421863	1.68746599531016e-16	2.15385061213716e-14	26.7230407249663
ENSMUSG00000102336	0.14501037202955	7.58046452439412	8.26750151576356	1.65287802593946e-16	2.14420412149322e-14	26.6599884738056
ENSMUSG00000065765	0.151772181664227	7.5464033530246	8.24808495359997	1.94138738804342e-16	2.44651789700862e-14	26.5648310026576
ENSMUSG00000020070	0.222440128259946	7.50109286481748	8.23636703441361	2.13896688247001e-16	2.67007639517388e-14	26.4906398585428
ENSMUSG00000022983	0.149700330475289	7.46789016665772	8.22512197041424	2.34716625356018e-16	2.90258914645872e-14	26.4405440896977
ENSMUSG00000037110	0.209221025765769	7.52422466855961	8.22389769745273	2.37100550919883e-16	2.90492082386286e-14	26.4013373151251
ENSMUSG00000054519	0.201054630488991	7.1547000176387	8.21701033981563	2.50963421488743e-16	3.01886181194459e-14	26.2716503201185
ENSMUSG00000039646	0.173803019564592	7.51037246181681	8.20343239331677	2.80674858930535e-16	3.34584660663859e-14	26.2448331272358
ENSMUSG00000040840	0.104132582902401	7.60485543693929	8.2175735061392	2.4980049942146e-16	3.01886181194459e-14	26.2262558138772
ENSMUSG00000085197	0.269412044067624	7.5559096304691	8.2007216223503	2.87009143402538e-16	3.39080802276999e-14	26.2095692073051
ENSMUSG00000038943	0.177796849049148	7.51069514809003	8.19700167050398	2.95931547948643e-16	3.46527986058093e-14	26.1953077601064
ENSMUSG00000085637	0.372637181980601	7.33045179307794	8.16500011878168	3.84885422979297e-16	4.42852514509744e-14	25.9477285165195
ENSMUSG00000038024	0.143548394313624	7.60140189570547	8.17522462766247	3.53923817120395e-16	4.10799995450619e-14	25.8927882104116
ENSMUSG00000050105	0.191937362235648	6.75097155368489	8.15726282611588	4.10076022044508e-16	4.67769476180425e-14	25.8539943127686
ENSMUSG00000026923	0.123417904590705	7.48593342308156	8.1444833358742	4.55287180139471e-16	5.14902561333802e-14	25.7880568697828
ENSMUSG00000089788	0.232089751176096	7.43964702824033	8.13595407280392	4.88160416219724e-16	5.47401578594864e-14	25.7324362099598
ENSMUSG00000020044	0.118748822913215	7.51821490969315	8.12745161887733	5.23256342918964e-16	5.81825876428885e-14	25.6161470868152
ENSMUSG00000008398	0.42667719357907	7.20104315239729	8.11029546859533	6.01815591831559e-16	6.63601992592932e-14	25.4714164741555
ENSMUSG00000067736	0.257126405148827	7.49610489716176	8.10544848867547	6.26043039436074e-16	6.84611694034556e-14	25.4634856640083
ENSMUSG00000045962	0.188482654609931	7.34938880609286	8.09523632665752	6.80277905088665e-16	7.35243482924607e-14	25.40367214177
ENSMUSG00000075010	0.492697902726247	7.1787973725738	8.09466299703579	6.8345638149733e-16	7.35243482924607e-14	25.3496903896028
ENSMUSG00000022864	0.186242416444452	7.3592146338726	8.06230402989604	8.88689104467457e-16	9.33264621453443e-14	25.1477620288297
