GeneID,LogFC,Pval
Gm13204,0.388325251,0.026740072
Gm14412,0.390091675,0.034697738
4930422M22Rik,0.390535096,0.014756377
Phf2os1,0.391836247,0.006660726
RP23-444I6.3,0.393787228,0.034064829
Ecscr,0.395175187,0.031724333
Arntl2,0.396092751,0.014681337
Gm26724,0.396161348,0.035063288
Gm15513,0.398258124,0.04154523
Zkscan2,0.400424948,0.003673137
RP23-171A13.10,0.400743913,0.009223499
Slc12a7,0.405125695,0.000948265
Gm12063,0.408324627,0.024357669
Gm11739,0.411932722,0.043747409
Grin1os,0.41348982,0.025521992
Sox17,0.415845282,0.000599311
4933417D19Rik,0.417903007,0.010041828
Gm26792,0.419827993,0.030798269
Gm15717,0.420820714,0.023590929
Ptprb,0.420852971,0.009497649
Jak3,0.42274635,0.001492409
Serpinb6b,0.423113091,0.043267103
Slfn5,0.423962352,0.048905612
D030047H15Rik,0.425811231,0.047273359
Tgfbr3l,0.427149761,0.024228413
Gm23600,0.430087248,0.04837575
Fpr1,0.430250994,0.017000412
RP24-176F12.12,0.431698948,0.026923875
Mmrn2,0.433305957,0.005707524
Gm29237,0.435594325,0.033155878
Gm16008,0.436887525,0.019979798
Ly6a,0.437041089,0.022505239
Spaca6,0.439252326,0.006326074
RP24-496O17.2,0.439439648,0.013020809
Syne4,0.444055136,0.015755725
Podxl,0.444484486,0.004170878
Foxf2,0.446257394,0.001859715
Gm17388,0.447952925,0.018096893
H2-D1,0.448339461,0.022041426
Itga1,0.449395873,0.007836697
Gm14042,0.451554391,0.007818609
Igfbp7,0.45576411,0.005517081
B2m,0.46587509,0.011582276
Sorbs2os,0.468035147,0.014993655
Gm23455,0.473976093,0.023460131
Gm5859,0.474313621,0.008459071
Gm25129,0.477482712,0.036342586
Zkscan7,0.477977215,0.00102527
Gm24119,0.480782438,0.046228328
RP23-13A13.6,0.481061684,0.02912335
RP23-371A16.2,0.490468437,0.006264013
Ctla2b,0.49465353,0.025945382
Ier3,0.498137806,0.040540622
Irf1,0.503276604,0.005010933
Gm13861,0.507467365,0.033016585
Adcy4,0.508189662,0.000857205
Clec2d,0.508394477,0.011842998
Gm26935,0.508761001,0.002822734
Prox2os,0.514139269,0.013111956
Gm15777,0.51684873,0.031968021
Ict1os,0.520537952,0.014970467
Clec14a,0.520927671,0.008712901
Edn1,0.526031904,0.012605851
Lag3,0.530504855,0.00014567
AU020206,0.531427862,0.010570033
Gm14817,0.534256965,0.023203211
Gm16105,0.535592222,0.036131251
RP23-423B1.6,0.545502369,0.048722431
Gbp7,0.546103703,0.00220039
Far1os,0.548765145,0.020238031
Gm3828,0.549230749,0.031256376
Fn1,0.552527199,0.001385475
RP23-461P14.1,0.555797321,0.011669665
Gm17709,0.558312509,0.029387636
Gm12207,0.559985805,0.033378925
RP23-46B12.7,0.564430637,0.046111414
Npas4,0.570119269,0.039179678
Snord69,0.584962967,0.014062386
H2-K1,0.591515932,0.00935906
Gm26280,0.59557525,0.009764067
Stac3,0.60214972,0.00867656
Gm27353,0.604882914,0.009138821
Icam1,0.607855971,0.04085104
RP24-167M10.4,0.608741372,0.002056012
Gm26446,0.616366451,0.023210359
Mir421,0.627622487,0.003459479
Gm11948,0.627686353,0.024683659
6720489N17Rik,0.632051523,0.004083481
RP24-186G5.1,0.638720629,0.005640308
Ctla2a,0.66008895,0.004930801
Gm5741,0.664841548,0.025414647
Mir7651,0.674841814,0.039345491
RP24-186G5.3,0.676463489,0.031408845
Gm24060,0.676932644,0.033704696
RP23-98F21.12,0.68719935,0.002555541
4930469G21Rik,0.699765071,0.046471937
Gm15585,0.70424001,0.006775385
Igsf6,0.714343783,0.001567663
RP24-186G5.2,0.756070304,0.041567955
Gm16161,0.759735458,0.015352656
Gm17971,0.761391555,0.005043807
Vwf,0.782579407,0.000234665
Snora23,0.790395543,0.02554132
Gm17168,0.801953736,0.006697511
H2-Q4,0.802742968,0.01164756
Irgm2,0.816926631,0.005655305
AW112010,0.836478492,0.004229818
Gbp2,0.848080885,0.013500012
Mir365-1,0.855692623,0.01962418
Ptgs2,0.883489068,0.01443575
Gbp3,0.904679974,0.001286534
Mir7056,0.922548583,0.005067649
