,lv_diff,regional_diff
ENSMUSG00000001173,0.09622993291689641,1.2049453377073853
ENSMUSG00000001175,0.1162339016115323,1.4849064192180244
ENSMUSG00000001211,0.058395916030461126,1.801556507235517
ENSMUSG00000001227,0.16814434598710093,2.1102048281387162
ENSMUSG00000001229,0.0350067645740052,1.5594433724976016
ENSMUSG00000001240,0.15758472664792278,1.0506694565224335
ENSMUSG00000001247,0.1731399987258443,1.371336243968534
ENSMUSG00000001248,0.13116170135463534,1.1764042416634237
ENSMUSG00000001260,0.09277659770174124,1.5013990196178761
ENSMUSG00000001270,0.03558089029857203,1.492595395865348
ENSMUSG00000001280,0.22936978554356924,1.2723572812084103
ENSMUSG00000001285,0.04236529833202113,1.2459951170226935
ENSMUSG00000001288,0.28603266303321845,1.225119283662438
ENSMUSG00000001289,0.10578390846049945,1.4891706355363936
ENSMUSG00000001300,0.042112614392230796,1.7360593228710393
ENSMUSG00000001305,0.11591463693882831,1.9446581903393196
ENSMUSG00000001313,0.12659227350827668,1.500828990767077
ENSMUSG00000001323,0.12248043351709348,1.469799535961772
ENSMUSG00000001334,0.145876866798067,1.5081378029117607
ENSMUSG00000001366,0.1833665478469696,1.631963239331192
ENSMUSG00000001376,0.15363600222243512,1.2046899671377829
ENSMUSG00000001380,0.13685292880129502,1.2388100550035952
ENSMUSG00000001383,0.15969890979582774,1.4523007251639024
ENSMUSG00000001415,0.11885685991368589,2.2322539564486514
ENSMUSG00000001416,0.12720933037507362,1.2605906671451208
ENSMUSG00000001418,0.1326197645178519,1.086695336640022
ENSMUSG00000001419,0.08829091312251924,1.892421350463905
ENSMUSG00000001424,0.07043407622104536,1.6989166292718267
ENSMUSG00000001436,0.04464286198664924,1.5677127395284254
ENSMUSG00000001440,0.05339457318680918,2.190531004893863
ENSMUSG00000001441,0.12451699978017022,1.376348850152369
ENSMUSG00000001445,0.07681595242737105,1.9144921464335916
ENSMUSG00000001467,0.16494154982553916,1.3410073686675368
ENSMUSG00000001472,0.050839777892071,1.9179498399180153
ENSMUSG00000001473,0.059157282429635416,1.5927009157882062
ENSMUSG00000001482,0.09244538782896239,1.5466467612223687
ENSMUSG00000001496,0.03873423649048957,2.126407122238264
ENSMUSG00000001507,0.0913531683583797,1.6895029955731045
ENSMUSG00000001518,0.05997570610077296,2.3632307553603353
ENSMUSG00000001520,0.05101537512311688,1.3699976905621085
ENSMUSG00000001521,0.1670253462728457,1.098964484555945
ENSMUSG00000001524,0.06557375503318008,1.1112231676205961
ENSMUSG00000001525,0.1580635677817317,2.168257927583862
ENSMUSG00000001542,0.19530997968752306,1.1675330998608173
ENSMUSG00000001552,0.09783226080635532,1.4827319119885294
ENSMUSG00000001555,0.12931222084453775,1.1886211147112178
ENSMUSG00000001569,0.15110356240451028,1.2738646488385434
ENSMUSG00000001576,0.07839513995225078,1.2766141388571004
ENSMUSG00000001627,0.1066658096779668,1.5319411885898913
ENSMUSG00000001630,0.06644019690900499,1.1113260087474772
ENSMUSG00000001632,0.1516286181014771,1.165651580544588
ENSMUSG00000001642,0.2045413980351659,1.2932555058570385
ENSMUSG00000001663,0.03750025772329324,1.3138278610227485
ENSMUSG00000001666,0.027828294711210733,1.2986707086345777
ENSMUSG00000001674,0.10914731792880733,1.1618735328727552
ENSMUSG00000001687,0.13579200001541072,1.0678441357010904
ENSMUSG00000001700,0.1404736561528353,2.053884909217427
ENSMUSG00000001707,0.15664303259952966,1.3783253540986067
ENSMUSG00000001729,0.06767636962409707,1.271732514955539
ENSMUSG00000001750,0.23520574807379319,1.0212471233165257
ENSMUSG00000001751,0.12964831187210157,1.2889539072204739
ENSMUSG00000001755,0.14454954158150501,1.1402866413374455
ENSMUSG00000001761,0.029033043883299414,1.9284387906782818
ENSMUSG00000001763,0.030493835689328952,1.723668484347937
ENSMUSG00000001767,0.0631103584097038,1.1868357050624467
ENSMUSG00000001768,0.06828520560963441,1.7518020374470722
ENSMUSG00000001773,0.06673584973058555,1.596710109073177
ENSMUSG00000001774,0.030143732414325775,1.603649194500434
ENSMUSG00000001783,0.09023002803310343,1.0920638407821344
ENSMUSG00000001785,0.09423499466278618,1.4084237343104553
ENSMUSG00000001786,0.09520652134447682,1.353031126174
ENSMUSG00000001794,0.13360398979953855,1.375994831217858
ENSMUSG00000001802,0.07301507318087774,1.7547980959274476
ENSMUSG00000001829,0.08529552579428135,1.5218408829110954
ENSMUSG00000001833,0.08042985607827935,1.4938331906133073
ENSMUSG00000001844,0.11759355490755963,1.5610370062019838
ENSMUSG00000001847,0.11973784766618767,1.452223526510014
ENSMUSG00000001855,0.1772210964487968,1.3251153702007292
ENSMUSG00000001864,0.13729625196205458,2.2483024577705053
ENSMUSG00000001891,0.13266232515788068,1.8986049937306013
ENSMUSG00000001909,0.11398933677600365,1.2224759679844368
ENSMUSG00000001910,0.11895528915738535,2.035706082703897
ENSMUSG00000001911,0.0574824548257713,1.7646200849304814
ENSMUSG00000001924,0.06481159590371227,1.172681751292121
ENSMUSG00000001930,0.35835311089433053,1.0105197198340536
ENSMUSG00000001942,0.07001069099582469,1.6555278389213335
ENSMUSG00000001943,0.15912566991690974,1.1528753546783694
ENSMUSG00000001946,0.1731919628015096,1.032614904579597
ENSMUSG00000001948,0.08844869277850487,1.4771653707490622
ENSMUSG00000001962,0.0948968287528742,1.7742219621528597
ENSMUSG00000001964,0.1789577715430993,1.6608449988874188
ENSMUSG00000001983,0.16781340375387216,1.597776377062273
ENSMUSG00000001985,0.09498072123246593,1.8024367226894211
ENSMUSG00000001986,0.1823920629609237,1.5021582944511602
ENSMUSG00000001995,0.019911961761025804,3.0299405660542718
ENSMUSG00000001998,0.19460017694542986,1.3050635330993656
ENSMUSG00000001999,0.0664307116797872,1.451302745593299
ENSMUSG00000002006,0.04930191277142598,1.546894051710846
ENSMUSG00000002007,0.12154301232103537,1.471048314392035
ENSMUSG00000002010,0.08807614154044968,1.0985381597007646
ENSMUSG00000002012,0.06997432106813406,1.448349977843325
ENSMUSG00000002014,0.037532514038629006,1.695159297921614
ENSMUSG00000002015,0.15145358833094727,1.2200782299827222
ENSMUSG00000002017,0.13027061990351418,1.0384287922184596
ENSMUSG00000002028,0.13086836322994377,1.0879028680485534
ENSMUSG00000002031,0.12176236312820554,1.2285069045779733
ENSMUSG00000002032,0.037891196385434534,1.5952775754161364
ENSMUSG00000002043,0.054149842028532236,1.5289817146625646
ENSMUSG00000002052,0.10918040620919278,1.2320499371674483
ENSMUSG00000002058,0.07955439933350489,1.3261532974063046
ENSMUSG00000002059,0.15764818540818037,1.3398629820168981
ENSMUSG00000002064,0.09427220488836463,1.6083262966088465
ENSMUSG00000002068,0.048199322858780036,1.554384810054021
ENSMUSG00000002083,0.18457368386365813,1.2662421368685035
ENSMUSG00000002102,0.09398993199477218,1.4335154906470515
ENSMUSG00000002103,0.05130466104892062,1.2251050125262664
ENSMUSG00000002104,0.02962885020712791,1.0
ENSMUSG00000002105,0.1698757266322658,1.226667877157169
ENSMUSG00000002107,0.17440316517442678,1.3468506932240216
ENSMUSG00000002108,0.07563376850905057,1.7375091545629509
ENSMUSG00000002109,0.20033226725643583,1.2167626057483678
