GeneID,LogFC,Pval
Map4k4,0.356670382,0.027434225
Ldlrad3,0.357283935,0.020542497
Fgd5,0.358950572,0.040687915
P2rx7,0.358996292,0.045733115
Cachd1,0.359274698,0.04852834
Podxl,0.361603802,0.036781463
Slco1a4,0.362307412,0.004113453
Mif4gd,0.362509159,0.044296211
Ankrd13a,0.362558876,0.039804119
Heatr5a,0.362962204,0.005702246
Jag1,0.364659641,0.046216581
Cd33,0.365397321,0.002071213
Card10,0.365402555,0.003550548
Gli3,0.365466589,0.006326935
Itpripl2,0.367011566,0.015953392
Rcbtb1,0.367418531,0.02401768
Myo6,0.36893821,0.032936913
Irgm1,0.369702127,0.042395388
Crtap,0.370182734,0.009006741
Dchs1,0.372789786,0.014596279
Creb3l2,0.373268014,0.008960966
Tns3,0.373789964,0.032742365
Nmb,0.373848133,0.02280589
Sox9,0.374099998,0.024223874
Foxo4,0.374241615,0.030909524
Ecm1,0.375162092,0.0123291
Ctsh,0.375269655,0.016654504
Heg1,0.375421657,0.027294298
Cald1,0.377430737,0.033482173
Lgals9,0.377528807,0.033226649
Rassf2,0.377586225,0.009151781
Elf1,0.378574407,0.013958509
Pdpn,0.379216978,0.013536807
Aldh3b1,0.379967449,0.048462207
Sox2,0.380254882,0.018473026
Ehd2,0.380883263,0.020347517
Slc29a3,0.38325441,0.002790627
Acvrl1,0.383996682,0.018227645
Slc16a1,0.385782834,0.002118216
Ppp1r16b,0.386687455,0.037596155
Rdm1,0.3876567,0.043815451
Robo4,0.387972497,0.01992879
Mcm2,0.388386154,0.040917017
Prim1,0.389209048,0.023595662
Erg,0.389708189,0.002752735
Efs,0.389973663,0.034169658
Lims2,0.392028278,0.043897696
Lcp1,0.392293797,0.004880526
Csf1,0.392952606,0.005558285
Reep3,0.393301241,0.032001228
Zhx2,0.393679284,0.004102169
Sh3bp2,0.394344662,0.031477925
Clic1,0.395470829,0.011809592
Ly6c1,0.395851487,0.016890407
Srgn,0.395963581,0.022689982
Abcb1a,0.396535183,0.004865913
Maml2,0.396746508,0.001158243
