,lv_diff,regional_diff
ENSMUSG00000000753,0.11769542860987392,1.7286888845281387
ENSMUSG00000000759,0.024254086742926284,2.5668229239935028
ENSMUSG00000000776,0.05409881107918896,1.2401219209707435
ENSMUSG00000000782,0.031367380463310834,1.4347828937578209
ENSMUSG00000000787,0.10660070793981424,1.4480279753672238
ENSMUSG00000000792,0.04303964665804705,1.0747458013847135
ENSMUSG00000000794,0.021025894952317215,1.134601546199579
ENSMUSG00000000804,0.05543864825612593,1.2655883174410132
ENSMUSG00000000805,0.1033381662372801,1.1557762852538427
ENSMUSG00000000823,0.028194186516360187,1.1467749373593217
ENSMUSG00000000826,0.12002997382138891,1.3483138838683335
ENSMUSG00000000827,0.05264518431472395,2.566999560573623
ENSMUSG00000000838,0.018941289482310664,1.2775328793427558
ENSMUSG00000000861,0.05130128796138189,1.1007067990223016
ENSMUSG00000000869,0.1153890060927727,1.6278648908548559
ENSMUSG00000000876,0.07034741195697458,1.5286390666324519
ENSMUSG00000000881,0.08519263446186037,1.108240958863327
ENSMUSG00000000902,0.07756572824577551,1.5330371438334547
ENSMUSG00000000915,0.012887195317416555,2.084724516927694
ENSMUSG00000000916,0.09747484278912844,1.2702025195397038
ENSMUSG00000000934,0.04178106924921876,1.3829537923033364
ENSMUSG00000000948,0.048424664463669,1.2385389675232383
ENSMUSG00000000957,0.09351366490758228,1.5499685284325406
ENSMUSG00000000958,0.1548578266207402,1.1050639621222675
ENSMUSG00000000959,0.13216683013799502,1.3004377996887202
ENSMUSG00000000976,0.05170581464891888,1.0435283564392008
ENSMUSG00000001016,0.12565704974152936,1.362659324241731
ENSMUSG00000001017,0.030016794650944645,1.5934056020118035
ENSMUSG00000001018,0.07759643826592766,1.13224618125132
ENSMUSG00000001020,0.07611011266745599,1.4908591936505289
ENSMUSG00000001025,0.0923130975205968,1.1794943226708108
ENSMUSG00000001029,0.22457171824126754,1.0833966189452866
ENSMUSG00000001034,0.038548379551277434,2.3676374455202565
ENSMUSG00000001036,0.2638905849793053,1.8915429224318583
ENSMUSG00000001039,0.05572636106030815,2.108193036072853
ENSMUSG00000001052,0.02121907449092425,1.4324820964905505
ENSMUSG00000001053,0.0417604468579042,2.225182184137928
ENSMUSG00000001054,0.0776999121071496,1.6870380248793326
ENSMUSG00000001056,0.04235289208273163,1.4420151868287945
ENSMUSG00000001062,0.114459948580107,1.2140008627320646
ENSMUSG00000001065,0.04684254199931409,1.3438085530475814
ENSMUSG00000001082,0.11079433413511175,1.7083447253799802
ENSMUSG00000001089,0.07025163828140038,1.0985444748655833
ENSMUSG00000001098,0.053393337070565594,1.430330333992478
ENSMUSG00000001100,0.07452380575200357,1.5946501256270333
ENSMUSG00000001105,0.09036912600463065,1.6549373588415393
ENSMUSG00000001119,0.08720533920400941,1.2925188795238505
ENSMUSG00000001120,0.08149177218292336,1.808237875093908
ENSMUSG00000001123,0.04964387565836892,1.1417438901464612
ENSMUSG00000001127,0.16889199135496186,1.6029632576802004
ENSMUSG00000001128,0.14541916031344898,1.4004284557738025
ENSMUSG00000001134,0.08042217407346364,1.2902568409027946
ENSMUSG00000001138,0.1140262120258847,1.2933742338425267
ENSMUSG00000001143,0.10936792556671832,1.4193967922059652
ENSMUSG00000001150,0.05463554873503729,1.4088596258867654
ENSMUSG00000001151,0.06543324328140188,1.1162132480724354
ENSMUSG00000001156,0.05311484604964439,1.2102801156963539
ENSMUSG00000001157,0.02715998416867671,2.0738306619144025
ENSMUSG00000001158,0.09608134470466387,1.3373092801549538
ENSMUSG00000001173,0.02259360055306281,1.7250479852431753
