"","x"
"778","lightgreen"
"779","brown"
"780","grey60"
"781","palevioletred3"
"782","magenta"
"783","brown4"
"784","green"
"785","blue"
"786","purple"
"787","greenyellow"
"788","darkolivegreen"
"789","navajowhite2"
"790","tan"
"791","magenta4"
"792","brown"
"793","black"
"794","chocolate4"
"795","turquoise"
"796","purple"
"797","skyblue4"
"798","mediumpurple2"
"799","royalblue"
"800","coral4"
"801","turquoise"
"802","magenta"
"803","darkolivegreen"
"804","turquoise"
"805","lightcyan"
"806","indianred4"
"807","bisque4"
"808","red"
"809","salmon4"
"810","coral2"
"811","indianred3"
"812","lightpink3"
"813","darkseagreen3"
"814","purple"
"815","purple"
"816","lavenderblush2"
"817","pink"
"818","greenyellow"
"819","green"
"820","chocolate4"
"821","green"
"822","pink"
"823","magenta"
"824","thistle1"
"825","orange"
"826","greenyellow"
"827","lightyellow"
"828","red"
"829","white"
"830","cyan"
"831","cyan"
"832","thistle3"
"833","darkgreen"
"834","lightyellow"
"835","lavenderblush2"
"836","coral4"
"837","coral2"
"838","cyan"
"839","brown"
"840","thistle"
"841","red"
"842","orangered3"
"843","pink"
"844","tan"
"845","lightcyan1"
"846","pink"
"847","white"
"848","lightcyan"
"849","salmon2"
"850","lightgreen"
"851","firebrick3"
"852","skyblue"
"853","sienna3"
"854","pink"
"855","salmon"
"856","navajowhite"
"857","turquoise"
"858","turquoise"
"859","pink"
"860","plum"
"861","saddlebrown"
"862","lightcyan"
"863","turquoise"
"864","greenyellow"
"865","honeydew"
"866","yellow"
"867","darkslateblue"
"868","blue"
"869","darkmagenta"
"870","lavenderblush3"
"871","greenyellow"
"872","grey60"
"873","lavenderblush3"
"874","brown4"
"875","plum2"
"876","pink"
"877","turquoise"
"878","darkorange2"
"879","salmon"
"880","darkgreen"
"881","darkmagenta"
"882","yellow"
"883","steelblue"
"884","salmon4"
"885","navajowhite1"
"886","yellow"
"887","tan"
"888","greenyellow"
"889","coral"
"890","mediumpurple4"
"891","royalblue"
"892","lightcyan"
"893","purple"
"894","lightpink3"
"895","plum1"
"896","purple"
"897","lightsteelblue"
"898","magenta4"
"899","darkviolet"
"900","brown"
"901","coral3"
"902","brown"
"903","blue"
"904","darkgreen"
"905","skyblue1"
"906","darkturquoise"
"907","lightyellow"
"908","firebrick4"
"909","mediumpurple2"
"910","turquoise"
"911","ivory"
"912","antiquewhite4"
"913","sienna3"
"914","greenyellow"
"915","floralwhite"
"916","orangered3"
"917","saddlebrown"
"918","blue2"
"919","plum"
"920","magenta"
"921","midnightblue"
"922","turquoise"
"923","lightpink2"
"924","greenyellow"
"925","salmon"
"926","midnightblue"
"927","steelblue"
"928","saddlebrown"
"929","black"
"930","magenta"
"931","indianred3"
"932","royalblue"
"933","greenyellow"
"934","lightgreen"
"935","greenyellow"
"936","purple"
"937","brown"
"938","darkred"
"939","lightgreen"
"940","ivory"
"941","skyblue1"
"942","darkseagreen3"
"943","brown"
"944","purple"
"945","lightcyan"
"946","greenyellow"
"947","skyblue1"
"948","bisque4"
"949","lightyellow"
